trace_name,chunk_idx,time_rel_sec,probability,packet_rms,cumulative_rms,zne_mean,embedding_delta_norm,p_chunk,threshold,confirm_chunks,trigger_start_chunk,trigger_available_chunk
IWT0160112022202,66,19.36,1.0863161e-05,30.588611553379145,11.092680341624284,0.23826192319393158,3.258830979397743,27,0.55,2,27,28
IWT0160112022202,67,19.86,1.0860757e-05,28.524059071294612,11.541363129121311,0.25828906893730164,1.21853591844242,27,0.55,2,27,28
IWT0160112022202,68,20.36,1.0280215e-05,26.587338102111925,11.896105088493016,0.09581929445266724,1.926657724405931,27,0.55,2,27,28
IWT0160112022202,69,20.86,1.0459006e-05,22.948999199039406,12.125151773609094,0.29560843110084534,0.9745043861440609,27,0.55,2,27,28
IWT0160112022202,70,21.36,1.0070771e-05,14.338719145195538,12.159127015340902,0.3224339187145233,4.275929084857562,27,0.55,2,27,28
IWT0160112022202,71,21.86,9.793769e-06,13.801541353719895,12.183454626492177,0.27692317962646484,1.1506338114819683,27,0.55,2,27,28
IWT0160112022202,72,22.36,9.690254e-06,9.310068443037684,12.148685126547187,0.23210859298706055,2.821643079388246,27,0.55,2,27,28
IWT0160112022202,73,22.86,1.01089145e-05,11.752284409940449,12.143414610087117,0.2007921189069748,2.1547891544968065,27,0.55,2,27,28
IWT0160112022202,74,23.36,1.0873204e-05,10.525825855235652,12.123266540542645,0.3097161054611206,0.6156840352949206,27,0.55,2,27,28
IWT0160112022202,75,23.86,1.1412034e-05,10.168138812455453,12.09959243435357,0.30237188935279846,1.433216997019865,27,0.55,2,27,28
IWT0160112022202,76,24.36,1.08562635e-05,9.135111403675396,12.065761733557224,0.328385591506958,1.5447416842133785,27,0.55,2,27,28
IWT0160112022202,77,24.86,1.0237325e-05,8.562772993825238,12.027309607929123,0.23925727605819702,1.9852314726359108,27,0.55,2,27,28
IWT0160112022202,78,25.36,1.1308593e-05,8.23419926826065,11.986798538591831,0.3413563668727875,2.8103765151719613,27,0.55,2,27,28
IWT0160112022202,79,25.86,1.1849917e-05,7.807339300244519,11.943585278365608,0.3007420599460602,1.4534237451555003,27,0.55,2,27,28
IWT0160112022202,80,26.36,1.1716511e-05,8.135460072654546,11.904000808277452,0.22264434397220612,2.711202280323041,27,0.55,2,27,28
IWT0160112022202,81,26.86,1.344584e-05,6.1068489274646325,11.850397574139457,0.40132632851600647,2.0324084999380547,27,0.55,2,27,28
IWT0160112022202,82,27.36,1.150788e-05,6.609656797789338,11.80111553922862,0.19403837621212006,1.376310412215073,27,0.55,2,27,28
IWT0160112022202,83,27.86,1.1713104e-05,5.506563031881981,11.746036544274665,0.31789863109588623,1.3601320087423021,27,0.55,2,27,28
IWT0160112022202,84,28.36,1.2015124e-05,6.151324412790931,11.695784182639091,0.20663751661777496,1.3286256461231019,27,0.55,2,27,28
IWT0160112022202,85,28.86,1.059637e-05,6.045513201013097,11.645846889156246,0.26993781328201294,5.737662646780412,27,0.55,2,27,28
IWT0160112022202,86,29.36,1.1227739e-05,5.25444615706359,11.592419086580222,0.2578323483467102,4.282530078962352,27,0.55,2,27,28
IWT0160112022202,87,29.86,1.1276758e-05,6.482346819771421,11.547060086562825,0.2648174464702606,1.2685139470608218,27,0.55,2,27,28
IWT0160112022202,88,30.36,1.0805682e-05,4.563789062964684,11.492192110135969,0.6584624648094177,2.385016326811066,27,0.55,2,27,28
IWT0160112022202,89,30.86,1.1657173e-05,4.952507127582189,11.440085470745647,0.2930412292480469,3.668736412341155,27,0.55,2,27,28
IWT0160112022202,90,31.36,1.2099316e-05,5.315702750239031,11.39069250745557,0.24691157042980194,1.337819303560113,27,0.55,2,27,28
IWT0160112022202,91,31.86,1.3845437e-05,4.3268604900710255,11.337595414222132,0.39649850130081177,1.4040433286389318,27,0.55,2,27,28
IWT0160112022202,92,32.36,1.1229303e-05,4.775323414157694,11.287342865292445,0.6598824858665466,4.020089549005442,27,0.55,2,27,28
